query,intent,response
can i ask about which coins are in red?,losers,Balanced.
which coins are in red? please,losers,Balanced.
explain to me give me the list of top losers,losers,Balanced.
hey moonchat tell me regarding market losers,losers,Balanced.
hey moonchat what is the information about biggest asset losers in 24h,losers,Balanced.
briefly describe biggest crypto losers in 24h,losers,Balanced.
i want to know worst performing coins,losers,Balanced.
can you tell me biggest asset decliners,losers,Balanced.
hey moonchat what's the deal with top 5 losers in the last 24 hours,losers,Balanced.
briefly describe which coins are in red?,losers,Balanced.
briefly describe give me the list of top losers,losers,Balanced.
what do you think of biggest crypto decliners,losers,Balanced.
i'm curious about give me the list of top losers,losers,Balanced.
give me info on which asset is losing most?,losers,Balanced.
can you tell me what's dumping today?,losers,Balanced.
give me info on biggest asset decliners,losers,Balanced.
what's the deal with top loser asset,losers,Balanced.
give me info on give me the list of top losers,losers,Balanced.
hey moonchat how about biggest asset decliners,losers,Balanced.
hey moonchat give me info on biggest crypto losers in 24h,losers,Balanced.
what is the information about who is the biggest loser today?,losers,Balanced.
i want to know biggest asset decliners,losers,Balanced.
hey moonchat top losers today please,losers,Balanced.
i'm curious about who is down today?,losers,Balanced.
what is the information about which asset is losing most?,losers,Balanced.
hey moonchat is cardano going up please,trend,Balanced.
do you know xrp trend today,trend,Balanced.
bitcoin trend today please,trend,Balanced.
give me info on is dogecoin going up,trend,Balanced.
litecoin market trend please,trend,Balanced.
how about xrp trend today,trend,Balanced.
solana market trend please,trend,Balanced.
explain to me is litecoin going up,trend,Balanced.
hey moonchat xrp trend today please,trend,Balanced.
xrp trend today please,trend,Balanced.
show solana trend today,trend,Balanced.
what do you think of dogecoin market trend,trend,Balanced.
explain to me is solana going up,trend,Balanced.
ethereum market trend please,trend,Balanced.
show dogecoin market trend,trend,Balanced.
bitcoin market trend please,trend,Balanced.
hey moonchat dogecoin market trend please,trend,Balanced.
what do you think of ethereum market trend,trend,Balanced.
explain to me is ethereum going up,trend,Balanced.
is bitcoin going up please,trend,Balanced.
show dogecoin trend today,trend,Balanced.
please show me solana trend today,trend,Balanced.
tell me regarding solana trend today,trend,Balanced.
give me info on is solana going up,trend,Balanced.
do you know litecoin trend today,trend,Balanced.
is dogecoin going up please,trend,Balanced.
can i ask about xrp market trend,trend,Balanced.
give me info on solana market trend,trend,Balanced.
i want to know cardano market trend,trend,Balanced.
please show me solana market trend,trend,Balanced.
explain to me ethereum market trend,trend,Balanced.
can i ask about ethereum market trend,trend,Balanced.
do you know is ethereum going up,trend,Balanced.
ethereum trend today please,trend,Balanced.
tell me regarding is litecoin going up,trend,Balanced.
explain to me is cardano going up,trend,Balanced.
i'm curious about dogecoin market trend,trend,Balanced.
give me info on is bitcoin going up,trend,Balanced.
is litecoin going up please,trend,Balanced.
what is the information about cardano trend today,trend,Balanced.
hey moonchat explain to me litecoin trend today,trend,Balanced.
is xrp going up please,trend,Balanced.
is cardano going up please,trend,Balanced.
briefly describe xrp trend today,trend,Balanced.
hey moonchat litecoin trend today please,trend,Balanced.
hey moonchat litecoin market trend please,trend,Balanced.
hey moonchat is xrp going up please,trend,Balanced.
briefly describe cardano trend today,trend,Balanced.
is solana going up please,trend,Balanced.
tell me regarding xrp market trend,trend,Balanced.
what's the deal with solana market trend,trend,Balanced.
hey moonchat i want to know is bitcoin going up,trend,Balanced.
can i ask about bitcoin market trend,trend,Balanced.
tell me regarding solana market trend,trend,Balanced.
i'm curious about solana market trend,trend,Balanced.
show is ethereum going up,trend,Balanced.
what do you think of litecoin market trend,trend,Balanced.
give me info on ethereum trend today,trend,Balanced.
can you tell me solana market trend,trend,Balanced.
briefly describe litecoin trend today,trend,Balanced.
please show me cardano trend today,trend,Balanced.
hey moonchat briefly describe cardano trend today,trend,Balanced.
hey moonchat what do you think of solana trend today,trend,Balanced.
litecoin trend today please,trend,Balanced.
hey moonchat tell me regarding is cardano going up,trend,Balanced.
xrp market trend please,trend,Balanced.
what do you think of how much is solana,price,Balanced.
i'm curious about what is the cost of solana,price,Balanced.
how about doge price,price,Balanced.
hey moonchat what is the information about what is cardano price,price,Balanced.
how much is dogecoin now please,price,Balanced.
can you tell me what is the price of eth,price,Balanced.
what is the information about live price of xrp,price,Balanced.
what's the deal with how much is dogecoin now,price,Balanced.
what is the information about show me bitcoin price,price,Balanced.
can you tell me doge price,price,Balanced.
do you know litecoin price today,price,Balanced.
do you know how much is xrp now,price,Balanced.
can i ask about how much is solana,price,Balanced.
do you know show me bitcoin price,price,Balanced.
what is litecoin price please,price,Balanced.
hey moonchat explain to me current btc price,price,Balanced.
live price of xrp please,price,Balanced.
what's the deal with check ethereum price,price,Balanced.
briefly describe how much is xrp now,price,Balanced.
hey moonchat can i ask about bitcoin value,price,Balanced.
live price of bitcoin please,price,Balanced.
i'm curious about how much is ethereum now,price,Balanced.
hey moonchat live price of solana please,price,Balanced.
do you know dogecoin value today,price,Balanced.
give me info on live price of litecoin,price,Balanced.
show what is solana price,price,Balanced.
tell me regarding ethereum price today,price,Balanced.
what do you think of how much is cardano now,price,Balanced.
hey moonchat how much is bitcoin now please,price,Balanced.
i'm curious about what is ethereum price,price,Balanced.
xrp price today please,price,Balanced.
do you know live price of litecoin,price,Balanced.
tell me regarding what is bitcoin price,price,Balanced.
hey moonchat what is litecoin price please,price,Balanced.
briefly describe live price of xrp,price,Balanced.
hey moonchat check ethereum price please,price,Balanced.
please show me live price of xrp,price,Balanced.
what is the information about how much is ethereum now,price,Balanced.
hey moonchat solana price today please,price,Balanced.
cardano price today please,price,Balanced.
explain to me show me bitcoin price,price,Balanced.
what is bitcoin price please,price,Balanced.
dogecoin value today please,price,Balanced.
live price of ethereum please,price,Balanced.
please show me what is bitcoin price,price,Balanced.
tell me regarding eth price right now,price,Balanced.
hey moonchat what's the deal with live price of bitcoin,price,Balanced.
can i ask about what is ethereum price,price,Balanced.
do you know live price of solana,price,Balanced.
hey moonchat crypto prices please,price,Balanced.
what's the deal with show me bitcoin price,price,Balanced.
do you know what is ethereum price,price,Balanced.
briefly describe how much is litecoin now,price,Balanced.
show what is ethereum price,price,Balanced.
i want to know live price of cardano,price,Balanced.
what is dogecoin price please,price,Balanced.
please show me what is dogecoin price,price,Balanced.
show how much is cardano now,price,Balanced.
hey moonchat how about ethereum price today,price,Balanced.
hey moonchat can you tell me ethereum price today,price,Balanced.
what's the deal with btc price,price,Balanced.
current btc price please,price,Balanced.
explain to me check ethereum price,price,Balanced.
hey moonchat explain to me show me bitcoin price,price,Balanced.
what is the information about doge price,price,Balanced.
i'm curious about eth price right now,price,Balanced.
solana price today please,price,Balanced.
what is xrp price please,price,Balanced.
what's the deal with bitcoin value,price,Balanced.
hey moonchat what is the information about live price of solana,price,Balanced.
do you know how much is solana now,price,Balanced.
i'm curious about how much is cardano now,price,Balanced.
how about eth price,price,Balanced.
hey moonchat what is the price of eth please,price,Balanced.
give me info on crypto prices,price,Balanced.
briefly describe what is cardano price,price,Balanced.
i'm curious about crypto prices,price,Balanced.
eth price right now please,price,Balanced.
please show me eth price right now,price,Balanced.
can you tell me live price of cardano,price,Balanced.
hey moonchat what's the deal with what is solana price,price,Balanced.
please show me solana price today,price,Balanced.
can you tell me what is litecoin price,price,Balanced.
what do you think of eth price,price,Balanced.
hey moonchat i want to know how much is xrp now,price,Balanced.
give me info on solana price today,price,Balanced.
what is the information about what is solana price,price,Balanced.
hey moonchat what's the deal with how much is litecoin now,price,Balanced.
how about what is the cost of solana,price,Balanced.
tell me regarding how much is litecoin now,price,Balanced.
i'm curious about what is cardano price,price,Balanced.
tell me regarding what is ethereum price,price,Balanced.
hey moonchat what is the information about how much is dogecoin now,price,Balanced.
hey moonchat what's the deal with eth price right now,price,Balanced.
tell me regarding how much is xrp now,price,Balanced.
what do you think of crypto prices,price,Balanced.
how much is bitcoin now please,price,Balanced.
